SUBSTÂNCIA,CÓDIGO GGREM,PMC Sem Imposto
CLORETO DE BENZALCÔNIO;BENZOILMETRONIDAZOL;NISTATINA,517117060014303,47.29
CLORETO DE BENZALCÔNIO;LISOZIMA;NISTATINA;METRONIDAZOL,509001201161414,54.96
CLORETO DE BENZALCÔNIO;ÁCIDO BÓRICO,501002201178311,13.13
CLORETO DE BENZALCÔNIO;ÓXIDO DE ZINCO;CÂNFORA (2-BORNANONA),525700101168410,14.65
CLORETO DE BENZETÔNIO,518200501172423,13.4
CLORETO DE CETILPIRIDÍNIO,505512070020603,14.94
CLORETO DE CETILPIRIDÍNIO;BENZOCAÍNA,515116070011603,21.96
CLORETO DE CÁLCIO DIIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,530318080003007,19.15
CLORETO DE DEQUALÍNIO;BENZOCAÍNA,509001401111313,12.16
CLORETO DE METILTIONÍNIO;ATROPA BELLADONNA;ALOÍNA;TEOBROMINA;COSTUS SPICATUS,522101401119419,33.96
CLORETO DE OXIBUTININA,501602401135312,44.24
CLORETO DE SÓDIO,523706901135418,29.13
CLORETO DE TRÓSPIO,501620100030607,11.5
CLORIDRATO DE ALECTINIBE,529219040027601,34519.41
CLORIDRATO DE ALFUZOSINA,576720090086817,317.59
CLORIDRATO DE ALIZAPRIDA,576720030059917,60.68
CLORIDRATO DE AMANTADINA,508022060163217,20.75
CLORIDRATO DE AMBROXOL,504913100008704,24.0
CLORIDRATO DE AMILORIDA;CLORTALIDONA,508006402116411,24.68
CLORIDRATO DE AMILORIDA;HIDROCLOROTIAZIDA,507729001112111,19.3
CLORIDRATO DE AMINOLEVULINATO DE METILA,510101901177315,2053.01
CLORIDRATO DE AMIODARONA,523700202111413,37.06
CLORIDRATO DE AMITRIPTILINA,513423090032906,24.76
CLORIDRATO DE AMOROLFINA,541820050128007,142.68
CLORIDRATO DE AMOROLFINA;AMOROLFINA,510119010006103,147.85
CLORIDRATO DE ANAGRELIDA,541820040125907,3962.48
CLORIDRATO DE ASCIMINIBE,526523090102502,16657.64
CLORIDRATO DE ATOMOXETINA,501623120045702,23.81
CLORIDRATO DE AZELASTINA,507706901176117,31.02
CLORIDRATO DE BAMBUTEROL,502300601131310,43.44
CLORIDRATO DE BAMIFILINA,508500701110418,36.57
CLORIDRATO DE BENAZEPRIL,504120070069307,76.67
CLORIDRATO DE BENAZEPRIL;BESILATO DE ANLODIPINO,504116120056803,42.07
CLORIDRATO DE BENSERAZIDA;LEVODOPA,529204102111318,105.0
CLORIDRATO DE BENZIDAMINA,508000604116413,15.85
CLORIDRATO DE BETAISTINA,508013110099904,17.8
CLORIDRATO DE BETAXOLOL,513423070031106,22.17
CLORIDRATO DE BIPERIDENO,506702303111412,31.55
CLORIDRATO DE BROMEXINA,507737101139111,12.08
CLORIDRATO DE BUPROPIONA,523717030035004,55.45
CLORIDRATO DE BUPROPIONA;CLORIDRATO DE NALTREXONA,525422020053205,701.89
CLORIDRATO DE BUSPIRONA,523700401114412,32.68
CLORIDRATO DE BUTENAFINA,504611502172316,27.27
CLORIDRATO DE CICLOBENZAPRINA,508021802111119,30.33
CLORIDRATO DE CICLOBENZAPRINA;CAFEÍNA,501605001111313,5.96
CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA,541816050015206,27.93
CLORIDRATO DE CICLOPENTOLATO,501001401173315,10.21
CLORIDRATO DE CINACALCETE,541820070135207,629.57
CLORIDRATO DE CIPROEPTADINA,506312020026503,23.04
CLORIDRATO DE CIPROEPTADINA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;NIACINAMIDA,504921020012207,19.88
CLORIDRATO DE CIPROEPTADINA;COBAMAMIDA,500217080037503,30.69
CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;FOSFATO SÓDICO DE RIBOFLAVINA,506324030041707,37.77
CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;MONOFOSFATO DE RIBOFLAVINA SÓDICA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO,504902301130411,31.96
CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO,507702601135412,39.23
CLORIDRATO DE CIPROFLOXACINO,508016100113806,45.3
CLORIDRATO DE CIPROFLOXACINO ;DEXAMETASONA,501001102176312,42.4
CLORIDRATO DE CIPROFLOXACINO ;HIDROCORTISONA,509013100012103,41.76
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,504912120008406,42.92
CLORIDRATO DE CLINDAMICINA MONOIDRATADO,507735702119117,81.85
CLORIDRATO DE CLOMIPRAMINA,511519120069807,45.08
CLORIDRATO DE DAPOXETINA,509022060028102,95.92
CLORIDRATO DE DELAPRIL;DICLORIDRATO DE MANIDIPINO,508503101114311,135.58
CLORIDRATO DE DIFENIDRAMINA,501624020047805,6.58
CLORIDRATO DE DIFENIDRAMINA;CALAMINA;CÂNFORA,533023010083817,23.58
CLORIDRATO DE DIFENIDRAMINA;CÂNFORA (2-BORNANONA);CALAMINA,505219020020304,23.58
CLORIDRATO DE DILTIAZEM,541815030010806,21.57
CLORIDRATO DE DONEPEZILA,508017050116504,32.83
CLORIDRATO DE DORZOLAMIDA,525502401173413,102.56
CLORIDRATO DE DOXICICLINA,507707301113112,57.36
CLORIDRATO DE DULOXETINA,523712120026704,82.16
CLORIDRATO DE EPINASTINA,501006101135311,60.95
CLORIDRATO DE ERLOTINIBE,511520050071307,7914.08
CLORIDRATO DE ETILEFRINA,533005701153414,10.55
CLORIDRATO DE FENAZOPIRIDINA,534203701115311,18.07
CLORIDRATO DE FENILEFRINA,504914030009203,18.17
CLORIDRATO DE FENOXAZOLINA,504617030058517,13.13
CLORIDRATO DE FEXOFENADINA,508020040129717,16.03
CLORIDRATO DE FEXOFENADINA;CLORIDRATO DE PSEUDOEFEDRINA,507726903115411,46.03
CLORIDRATO DE FINGOLIMODE,526532501115315,9711.61
CLORIDRATO DE FLUOXETINA,523705302114415,112.88
CLORIDRATO DE FLURAZEPAM,525123050035217,26.85
CLORIDRATO DE HIDRALAZINA,526501202116417,11.13
CLORIDRATO DE HIDROXIZINA,512118100009503,15.11
CLORIDRATO DE HIDROXOCOBALAMINA;FOSFATO DISSÓDICO DE DEXAMETASONA;DIPIRONA,508006001154411,46.9
CLORIDRATO DE HIDROXOCOBALAMINA;TRIPTOFANO;CLORIDRATO DE ARGININA;GLUTAMINA;FOSFATO DE LEVOTREONINA;DEXFOSFOSSERINA,508501701130417,74.16
CLORIDRATO DE IMIPRAMINA,506720060083207,11.16
CLORIDRATO DE IOIMBINA,501603301118317,80.76
CLORIDRATO DE ISOTIPENDIL,500507701161415,17.77
CLORIDRATO DE ISOXSUPRINA,501601101111312,87.7
CLORIDRATO DE IVABRADINA,532721070043704,20.3
CLORIDRATO DE LERCANIDIPINO,501623050043517,101.29
CLORIDRATO DE LEVAMISOL,514516020032103,328.4
CLORIDRATO DE LEVOBUNOLOL,501000802174314,35.24
CLORIDRATO DE LEVOMEPROMAZINA,576720030060517,16.69
CLORIDRATO DE LIDOCAINA;CLORETO DE BENZETÔNIO,515100302173427,18.93
CLORIDRATO DE LIDOCAINA;CLORIDRATO DE FENILEFRINA,532120070000107,107.95
CLORIDRATO DE LIDOCAINA;HEMITARTARATO DE NOREPINEFRINA,506720080084907,217.39
CLORIDRATO DE LIDOCAINA;PIVALATO DE FLUOCORTOLONA,562621030000917,34.65
CLORIDRATO DE LIDOCAINA;POLIDOCANOL,501102101167411,14.03
CLORIDRATO DE LIDOCAINA;POLIDOCANOL;MATRICARIA CHAMOMILLA L.,540921100048917,16.16
CLORIDRATO DE LIDOCAÍNA MONOIDRATADA,513423050030006,25.27
CLORIDRATO DE LISINA,500515070059807,123.85
CLORIDRATO DE LOPERAMIDA,511503001111412,6.59
CLORIDRATO DE LURASIDONA,530418030014102,92.88
CLORIDRATO DE MEBEVERINA,500214050031608,157.96
CLORIDRATO DE MECLIZINA,501620040024307,14.52
CLORIDRATO DE MEFLOQUINA,519702501118414,2808.65
CLORIDRATO DE MEFLOQUINA;ARTESUNATO,541921040008207,485.58
CLORIDRATO DE MEMANTINA,523709501111419,106.79
CLORIDRATO DE MEMANTINA;CLORIDRATO DE DONEPEZILA,501620050026207,92.35
CLORIDRATO DE MEMANTINA;CLORIDRATO DE DONEPEZILA MONOIDRATADO,501621080033606,937.97
CLORIDRATO DE MEPIVACAÍNA,507201201150414,191.76
CLORIDRATO DE MEPIVACAÍNA;HEMITARTARATO DE NOREPINEFRINA,507200601155415,86.37
CLORIDRATO DE METADONA,506709301155411,69.63
CLORIDRATO DE METFORMINA,525404903115411,32.63
CLORIDRATO DE METFORMINA;DAPAGLIFLOZINA,505116010022505,192.78
CLORIDRATO DE METFORMINA;EMPAGLIFLOZINA,504522080021405,102.45
CLORIDRATO DE METFORMINA;GLIMEPIRIDA,541821090165006,22.82
CLORIDRATO DE METFORMINA;SAXAGLIPTINA,502317120032917,98.75
CLORIDRATO DE METILFENIDATO,508021070140706,25.81
CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO;DIMETICONA;PEPSINA,500511401118318,41.04
CLORIDRATO DE MIGALASTATE,576121060000417,71423.91
CLORIDRATO DE MINOCICLINA,529903102110113,37.74
CLORIDRATO DE NAFAZOLINA,500901101178410,10.73
CLORIDRATO DE NAFAZOLINA;CLORETO DE BENZALCÔNIO;CLORETO DE SÓDIO,528102701174416,8.92
CLORIDRATO DE NAFAZOLINA;DEXPANTENOL;MALEATO DE MEPIRAMINA,507718102176411,17.66
CLORIDRATO DE NAFAZOLINA;FOSFATO DISSÓDICO DE DEXAMETASONA;SULFATO DE NEOMICINA,500509002171418,25.58
CLORIDRATO DE NAFAZOLINA;MALEATO DE FENIRAMINA,500901001173311,16.69
CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO,501005701171418,10.11
CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO HEPTAIDRATADO,519919040000704,13.17
CLORIDRATO DE NALTREXONA,506713301113413,404.83
CLORIDRATO DE NARATRIPTANA,510614050051703,11.24
CLORIDRATO DE NEBIVOLOL,541820050127107,18.17
CLORIDRATO DE NORTRIPTILINA,508019806113114,34.05
CLORIDRATO DE OLODATEROL,504514100019602,148.77
CLORIDRATO DE OLOPATADINA,500903101175310,66.04
CLORIDRATO DE OXIBUPROCAÍNA,506719070079217,26.38
CLORIDRATO DE OXIBUTININA,501602402115315,33.3
CLORIDRATO DE OXICODONA,534219110019007,102.04
CLORIDRATO DE OXICODONA;CLORIDRATO DE NALOXONA,556719050002005,81.24
CLORIDRATO DE OXIMETAZOLINA,507732501171117,9.45
CLORIDRATO DE OXITETRACICLINA;SULFATO DE POLIMIXINA B,522717110063717,8.28
CLORIDRATO DE PALONOSETRONA;NETUPITANTO,533223050005117,380.99
CLORIDRATO DE PAROXETINA,523701004119416,195.92
CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,508019120126107,25.96
CLORIDRATO DE PAZOPANIBE,526517050089517,3950.3
CLORIDRATO DE PILOCARPINA,501004301171412,25.48
CLORIDRATO DE PIOGLITAZONA,523722080047403,42.62
CLORIDRATO DE PIRIDOXINA,505520010021007,31.94
CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA,560817070000517,58.84
CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;CIANOCOBALAMINA,524819120007607,65.57
CLORIDRATO DE PONATINIBE,576120010000107,14763.8
CLORIDRATO DE PRASUGREL,530412030008503,175.0
CLORIDRATO DE PRAZOSINA,522717120068207,24.66
CLORIDRATO DE PRILOCAÍNA;FELIPRESSINA,507200701151411,195.27
CLORIDRATO DE PROCAÍNA;TIMOL;MENTOL;CÂNFORA,508220050000107,157.35
CLORIDRATO DE PROMETAZINA,513423080032406,9.33
CLORIDRATO DE PROMETAZINA;DIPIRONA;CLORIDRATO DE ADIFENINA,506320030032307,15.1
CLORIDRATO DE PROMETAZINA;SULFOGUAIACOL,576720030059717,18.26
CLORIDRATO DE PROPAFENONA,523715110033504,25.58
CLORIDRATO DE PROPRANOLOL,507017020007305,900.37
CLORIDRATO DE PROXIMETACAÍNA,500900301173414,10.38
CLORIDRATO DE PSEUDOEFEDRINA;CLORIDRATO DE TRIPROLIDINA,509000201117311,11.45
CLORIDRATO DE RALOXIFENO,541819040106606,48.26
CLORIDRATO DE SELEGILINA,508502101110413,46.7
CLORIDRATO DE SERTRALINA,508003505119117,108.77
CLORIDRATO DE SEVELÂMER,541819010102206,644.19
CLORIDRATO DE SIBUTRAMINA,500511901110413,75.12
CLORIDRATO DE SIBUTRAMINA MONOIDRATADO,508027302110414,45.89
CLORIDRATO DE SOTALOL,511513100057903,45.52
CLORIDRATO DE TANSULOSINA,508023070174206,123.98
CLORIDRATO DE TAPENTADOL,514516010030802,57.68
CLORIDRATO DE TEPOTINIBE MONOIDRATADO,525421090053002,54756.17
CLORIDRATO DE TERBINAFINA,510617100057717,16.44
CLORIDRATO DE TETRACAÍNA;CLORFENESINA;VALERATO DE BETAMETASONA,509002902171414,30.1
CLORIDRATO DE TETRACAÍNA;CLORIDRATO DE FENILEFRINA,501000501174315,9.95
CLORIDRATO DE TETRACAÍNA;ISETIONATO DE HEXAMIDINA,552919120096817,20.77
CLORIDRATO DE TETRACICLINA,520719202112414,164.79
CLORIDRATO DE TETRACICLINA;ANFOTERICINA B,504417040062104,55.4
CLORIDRATO DE TIAMINA,520703101117414,25.58
CLORIDRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;CITRATO DE CÁLCIO;FEREDEDATO DE SÓDIO;COLECALCIFEROL CRISTALIZADO;FLUORETO DE SÓDIO,538819120070407,31.36
CLORIDRATO DE TIAMINA;CARISOPRODOL;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA,500505201110416,32.35
CLORIDRATO DE TIAMINA;CARISOPRODOL;CLORIDRATO DE PIRIDOXINA;DIPIRONA;CIANOCOBALAMINA,500515050059603,12.94
CLORIDRATO DE TIAMINA;CLORIDRATO DE LIDOCAINA;FOSFATO DISSÓDICO DE BETAMETASONA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA,533021060073303,33.59
CLORIDRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA,504122080080604,21.28
CLORIDRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA;FOSFATO DE DEXAMETASONA,560818020001918,10.99
CLORIDRATO DE TIAMINA;CLORIDRATO DE PROCAÍNA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA;FOSFATO DE DEXAMETASONA,560818020001718,36.96
CLORIDRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;ÁCIDO GAMAMINOBUTÍRICO;CLORIDRATO DE PIRIDOXINA;CLORIDRATO DE LISINA,536214100006003,35.7
CLORIDRATO DE TICLOPIDINA,507737701111119,58.03
CLORIDRATO DE TIORIDAZINA,533019004115413,20.58
CLORIDRATO DE TIZANIDINA,511524050081617,49.42
CLORIDRATO DE TRAMADOL;DICLOFENACO SÓDICO,534224050034204,46.18
CLORIDRATO DE TRAMADOL;PARACETAMOL,508024050181306,21.05
CLORIDRATO DE TRAZODONA,508022090168504,5.03
CLORIDRATO DE TRIEXIFENIDIL,501604901119312,12.84
CLORIDRATO DE VALACICLOVIR,510608402116311,763.0
CLORIDRATO DE VALGANCICLOVIR,507520080013307,10854.13
CLORIDRATO DE VARDENAFILA,538912050014413,199.87
CLORIDRATO DE VENLAFAXINA,508021908114413,97.16
CLORIDRATO DE VERAPAMIL,507728201118115,32.47
CLORIDRATO DE VILAZODONA,523723100051604,26.71
CLORIDRATO DE XILOMETAZOLINA,510617110058317,8.44
CLORIDRATO DE ZIPRASIDONA,552820050066817,204.93
CLORIDRATO DE ZIPRASIDONA MONOIDRATADO,541814110009006,349.47
CLORPROPAMIDA,522717100058717,18.86
CLORTALIDONA,507708301117116,17.24
CLORTALIDONA;AZILSARTANA MEDOXOMILA POTÁSSICA,501114120023305,13.78
CLOTRIMAZOL,507708501167117,12.66
CLOTRIMAZOL;ACETATO DE DEXAMETASONA,526124401169115,24.3
COALTAR,522613100007403,56.47
COLCHICINA,501616090017503,44.56
COLECALCIFEROL,504920010011007,26.38
COLESTIRAMINA,505105101136318,90.84
CONDROITINA SULFATO DE SÓDIO;SULFATO DE GLICOSAMINA,534220040021507,59.06
CONJUGADO DE POLISSACARÍDEO CAPSULAR DE HAEMOPHILUS INFLUENZAE TIPO B E TOXÓIDE TETÂNICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;PERTACTINA;POLIOVÍRUS INATIVADOS TIPO 1,510604201159310,193.65
CORDIA VERBENACEA DC.,552920050124807,48.48
CORYNEBACTERIUM PARVUM,516500701359411,90.03
CRATAEGUS RHIPIDOPHYLLA GAND.;PASSIFLORA INCARNATA;SALIX ALBA L.,524820010008807,43.03
CRIZOTINIBE,522720030084317,33338.43
CROMOGLICATO DE SODIO,501001802178318,17.36
CURCUMA LONGA L.,552919120090007,30.17
CYNARA SCOLYMUS L.,516120060004107,41.41
CÁLCIO AMINOÁCIDO QUELATO,502400702132416,32.43
CÂNFORA,516120030003607,67.07
CÂNFORA (2-BORNANONA),526212090008403,75.08
CÂNFORA (2-BORNANONA);MENTOL;SALICILATO DE METILA,506300301163413,15.02
CÂNFORA (2-BORNANONA);SALICILATO DE METILA,503403701161412,17.37
DALTEPARINA SÓDICA,522717100058918,110.03
DANAZOL,508024060182217,216.56
DAPAGLIFLOZINA,502317100031917,94.7
DAPTOMICINA,508020040130307,2321.19
DAROLUTAMIDA,538920050030507,14887.31
DARUNAVIR,514513020026403,2788.65
DASATINIBE,505107801119218,9944.25
DASATINIBE MONOIDRATADO,505112050017802,19748.01
DECANOATO DE NANDROLONA,505618090044117,25.15
DECANOATO DE TESTOSTERONA;FEMPROPIONATO DE TESTOSTERONA;ISOCAPROATO DE TESTOSTERONA;PROPIONATO DE TESTOSTERONA,505618100044317,48.05
DEFERASIROX,526526801110217,1279.95
DEFERIPRONA,508501401110313,2028.82
DEFLAZACORTE,507728302119117,52.33
DELAMANIDE,541523110030902,10119.9
DELTAFOLITROPINA,527303107158417,1278.36
DELTAMETRINA,503402203174417,19.44
DENOSUMABE,544116090003517,1124.35
DESFLURANO,503205101123319,1985.13
DESLANOSÍDEO,533019101153413,119.35
DESLORATADINA,525515090017417,60.67
DESLORATADINA;SULFATO DE PSEUDOEFEDRINA,525515090017717,48.32
DESOGESTREL,525515120018804,42.58
DESOGESTREL;ETINILESTRADIOL,525522080026017,48.88
DESONIDA,507726701164111,31.55
DESOXIMETASONA,576720060072317,43.53
DESOXIMETASONA;SULFATO DE NEOMICINA,576720060072417,43.63
DEUCRAVACITINIBE,505124050024502,3628.41
DEUTETRABENAZINA,537522010010001,17941.43
DEXAMETASONA,508022040156117,18.9
DEXAMETASONA;ACETATO DE DEXAMETASONA,506302801163419,19.91
DEXAMETASONA;CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,500900702178417,40.05
DEXAMETASONA;SULFATO DE NEOMICINA;NISTATINA,524802601161412,70.64
DEXAMETASONA;SULFATO DE NEOMICINA;SULFATO DE POLIMIXINA B,500902602170313,19.45
DEXAMETASONA;TOBRAMICINA,500903402175311,38.86
DEXLANSOPRAZOL,501112070019102,6.25
DEXPANTENOL,507745501167413,18.71
DEXTRANA 70 (99M TC);HIPROMELOSE,510422110189007,21.85
DEXTRANA;HIPROMELOSE,500902101171317,24.98
DEXTRANA;HIPROMELOSE;GLICEROL,500903901171311,23.8
DIACEREÍNA,532800201116417,208.43
DIASPARTATO DE PASIREOTIDA,576921020000917,24182.34
DIAZEPAM,513423070031806,13.87
DICLOFENACO,541820030123807,26.56
DICLOFENACO COLESTIRAMINA,526506503114317,47.11
DICLOFENACO COLESTIRAMINA;DICLOFENACO DE POTÁSSIO,504617030056117,22.37
DICLOFENACO DE POTÁSSIO,520712050081603,14.56
DICLOFENACO DE POTÁSSIO;DICLOFENACO DIETILAMÔNIO,510617110059117,5.56
DICLOFENACO DE SÓDIO;CARISOPRODOL;PARACETAMOL;CAFEÍNA,508020070132707,24.45
DICLOFENACO DE SÓDIO;CLORIDRATO DE TIAMINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA,528720070003317,9.03
DICLOFENACO DIETILAMÔNIO,510617110058417,20.02
DICLOFENACO POTÁSSICO,526502713114310,21.87
DICLOFENACO SÓDICO;FOSFATO DE CODEÍNA HEMI-HIDRATADO,526504202117418,44.02
DICLOFENACO ÁCIDO,526502709117319,43.12
DICLORIDRATO DE BETAISTINA,501624010047404,20.09
DICLORIDRATO DE BUCLIZINA,540923050059717,15.37
DICLORIDRATO DE CAPMATINIBE MONOIDRATADO,526521080099201,54756.18
DICLORIDRATO DE CETIRIZINA,510609601112312,64.65
DICLORIDRATO DE DACLATASVIR,544223010003506,16627.84
DICLORIDRATO DE FLUNARIZINA,533507301119411,12.75
DICLORIDRATO DE FLUNARIZINA;MESILATO DE DIIDROERGOCRISTINA,500507501111414,78.16
DICLORIDRATO DE HIDROXIZINA,512102302133417,46.2
DICLORIDRATO DE HIDROXIZINA;CLORIDRATO DE HIDROXIZINA,517617050024503,22.91
DICLORIDRATO DE HIDROXIZINA;HIDROXIZINA;CLORIDRATO DE HIDROXIZINA,508018040121007,30.02
DICLORIDRATO DE LEVOCETIRIZINA,508026601114413,42.05
DICLORIDRATO DE LEVOCETIRIZINA;MONTELUCASTE DE SÓDIO,508022080167303,53.71
DICLORIDRATO DE MANIDIPINO,508502301111316,85.48
DICLORIDRATO DE MECLOZINA MONOIDRATADO,501603401112310,21.8
DICLORIDRATO DE PRAMIPEXOL,508016050110706,186.13
DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO,508019120126007,93.08
DICLORIDRATO DE SAPROPTERINA,542421020000417,4329.76
DICLORIDRATO DE TRIENTINA,596221070000102,4391.45
DICLORIDRATO DE TRIFLUOPERAZINA,510607501110419,10.35
DICLORIDRATO DE TRIMETAZIDINA,508024020178804,21.01
DICLORIDRATO DE ZUCLOPENTIXOL,524200201114412,47.83
DIDROGESTERONA,500214100033217,30.35
DIDROGESTERONA;ESTRADIOL HEMI-HIDRATADO,500214100032317,78.67
DIENOGESTE,508015090108106,139.58
DIENOGESTE;VALERATO DE ESTRADIOL,530917060013104,148.44
DIETILESTILBESTROL,501600401111311,50.04
DIFOSFATO DE CLOROQUINA,506718202113416,221.92
DIFOSFATO DE PRIMAQUINA,541922050009807,1358.12
DIGOXINA,520722020114606,8.53
DIMALEATO DE AFATINIBE,504516050020502,4688.34
DIMENIDRINATO,533513120024603,11.26
DIMENIDRINATO;CLORIDRATO DE PIRIDOXINA,533008103151412,108.05
DIMESILATO DE LISDEXANFETAMINA,541824050206004,385.6
DIMETICONA,517607402136418,8.43
DIMETICONA;CLORIDRATO DE METOCLOPRAMIDA;PEPSINA,500514100057803,16.39
DIMETICONA;HIDROXIDO DE MAGNESIO;HIDROXIDO DE ALUMÍNIO,538820040073407,35.34
DIMETICONA;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO,525102401117410,14.39
DIMETILSULFÓXIDO DE TRAMETINIBE,526517030088302,25287.9
DINITRATO DE ISOSSORBIDA,531601801115314,10.99
DIOSMINA,517720080005307,19.71
DIOSMINA;FLAVONÓIDES EXPRESSOS EM HESPERIDINA,508019120125707,42.73
DIPIRIDAMOL,596221080000417,6.32
DIPIRONA  MAGNÉSICA,504612040013014,25.48
DIPIRONA MONOIDRATADA,517002203134416,153.39
DIPIRONA MONOIDRATADA;BUTILBROMETO DE ESCOPOLAMINA,533021020073517,14.07
DIPIRONA MONOIDRATADA;BUTILBROMETO DE ESCOPOLAMINA;METILBROMETO DE HOMATROPINA;BROMIDRATO DE HIOSCIAMINA,531625801131414,21.61
DIPIRONA MONOIDRATADA;CAFEÍNA,504620080077507,14.8
DIPIRONA MONOIDRATADA;CAFEÍNA ANIDRA,504613090017816,19.65
DIPIRONA MONOIDRATADA;CAFEÍNA ANIDRA;CITRATO DE ORFENADRINA,541820030123407,12.54
DIPIRONA MONOIDRATADA;CAFEÍNA ANIDRA;MUCATO DE ISOMETEPTENO,526218100016504,8.28
DIPIRONA MONOIDRATADA;CLORIDRATO DE PROMETAZINA;CLORIDRATO DE ADIFENINA,506303703130417,27.76
DIPIRONA MONOIDRATADA;DIPIRONA,542019020006306,6.42
DIPIRONA MONOIDRATADA;MUCATO DE ISOMETEPTENO;CAFEÍNA,526220110017707,6.84
DIPROPIONATO DE BECLOMETASONA,508517030011403,51.01
DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO,508504001172316,168.66
DIPROPIONATO DE BECLOMETASONA;FUMARATO DE FORMOTEROL DIIDRATADO,508521040012903,203.33
DIPROPIONATO DE BETAMETASONA,507727301161111,26.17
DIPROPIONATO DE BETAMETASONA;ÁCIDO ACETILSALICÍLICO,507725901062118,21.22
DITOSILATO DE LAPATINIBE,526517060090017,7267.49
DIVALPROATO DE SÓDIO,508024020179303,7.98
DOBESILATO DE CÁLCIO,501624050049203,12.42
DOCUSATO DE SÓDIO;BISACODIL,540917100034617,13.43
DOLUTEGRAVIR SÓDICO,510614080052502,2748.18
DOLUTEGRAVIR SÓDICO;LAMIVUDINA,541923080010806,1668.24
DOLUTEGRAVIR SÓDICO;SULFATO DE ABACAVIR;LAMIVUDINA,510617070057105,4456.6
DOMPERIDONA,508029501110410,22.56
DOXICICLINA MONOIDRATADA,511503401118112,45.87
DROPROPIZINA,516300602136411,17.0
DROSPIRENONA,565621100001807,95.06
DROSPIRENONA;ESTETROL MONOIDRATADO,523723070050302,65.15
DROSPIRENONA;ESTRADIOL HEMI-HIDRATADO,523721060045804,114.84
DULAGLUTIDA,507615120019102,147.72
DUPILUMABE,576720020052517,9704.09
DUTASTERIDA,510610502114213,96.72
DUTASTERIDA;CLORIDRATO DE TANSULOSINA,510612050047805,27.59
EBASTINA,508006602115311,54.38
ECHINACEA PURPUREA (L.) MOENCH,517320050001907,74.95
EDARAVONA,530423060018802,274.02
EDOXABANA,530418060015402,50.56
EFAVIRENZ,506719080080705,530.29
ELBASVIR;GRAZOPREVIR MONOIDRATADO,525518010020302,73748.23
ELTROMBOPAGUE OLAMINA,526517050089317,2575.46
EMBONATO DE PIRVÍNIO,532903502135411,22.7
EMBONATO DE TRIPTORRELINA,500505401152414,1104.32
EMICIZUMABE,529218100027202,17269.31
EMPAGLIFLOZINA,504514110019702,78.77
ENANTATO DE ESTRADIOL;ALGESTONA ACETOFENIDA,508025101150110,13.63
ENANTATO DE NORETISTERONA;VALERATO DE ESTRADIOL,508020801154118,24.95
ENCORAFENIBE,522723010091201,4034.59
ENFUVIRTIDA,529215020026002,9014.18
ENOXAPARINA SÓDICA,508012020089803,68.93
ENTACAPONA,511521030072811,241.65
ENTRICITABINA;FUMARATO DE TENOFOVIR DESOPROXILA,546820020000617,2753.67
EPINEFRINA;BENZENO;MENTOL;BENZOCAÍNA,522101601169411,37.98
EPINEFRINA;CLORIDRATO DE ARTICAÍNA,507201101156410,153.91
EPINEFRINA;CLORIDRATO DE LIDOCAINA,507200101152417,143.97
EPINEFRINA;CLORIDRATO DE MEPIVACAÍNA,507200401156418,191.76
